,text,label
60,"Крупной Федеральной Компании для работы ВАХТОВЫМ МЕТОДОМ на строительные участки требуются специалисты:  Обязанности:  · Работы на монолите (заливка бетона, укладка и вязка арматуры)  · Монтажные работы (МК/ЖБК)  · Общестроительные работы и вспомогательные работы  Требования:  · Понимание работы в бригаде  · Дисциплинированность, трудолюбие  · Опыт работы в строительстве будет преимуществом  · (готовы рассмотреть кандидатов и без опыта работы, всему научим, в перспективе карьерный рост до бригадира/мастера участка)  Условия:  · Продолжительность вахты 60/30, 90/30 (можно больше)  · Официальное трудоустройство по ТК РФ с первой рабочей смены  · ЗП строго в срок и без задержек (документальное подтверждение в трудовом договоре)  · Авансирование (15 и 30го числа каждого месяца по 15000 р.)",1
61,· Обеспечим сезонной спецодеждой и СИЗами без вычетов из ЗП  · Организованное трехраховое горячее питание за счет компании  · Организованные отправки до объектов (покупаем билеты на вахту/с вахты)  · Помощь в прохождении мед. осмотра (при необходимости)  · Возможность получить квалификационное удостоверение (обучение основным и смежным специальностям в нашем аккредитованном учебном центре),3
62,"В стабильную, развивающуюся компанию требуются Бетонщики-Арматурщики на строительные объекты в Москве  Рассмотрим кандидатов как с опытом работы, так и без него.",0
63,"ВАХТОВЫЙ МЕТОД РАБОТЫ 60/30  З/п за месяц - 67 000 на руки  З/п за вахту - 134 000 на руки  Обязанности:  - Армирование, бетонирование;",0
64,- Монтаж опалубки.,0
65,Требования:  - Соблюдение трудовой и бытовой дисциплины;,0
66,Условия:  - ВАХТА!,0
67,60/30;,0
68,"- График работы 7/0 по 11 часов  - Прямой работодатель, ОФИЦИАЛЬНОЕ трудоустройство по ТК РФ  - Выплата заработной платы БЕЗ ЗАДЕРЖЕК.",0
69,"Оплата по часовой ставке , выплачивается стабильно 2 раза в месяц ;",0
70,- Проживание за счет компании  - Питание за счет компании  - Спецодежда за счет компании  - Покупаем билеты на вахту/с вахты,0
71,"В стабильную, развивающуюся компанию требуются Бетонщики-Арматурщики на строительные объекты в Москве  Рассмотрим кандидатов как с опытом работы, так и без него.",0
72,"ВАХТОВЫЙ МЕТОД РАБОТЫ 60/30  З/п за месяц - 67 000 на руки  З/п за вахту - 134 000 на руки  Обязанности:  - Армирование, бетонирование;",0
73,- Монтаж опалубки.,0
74,Требования:  - Соблюдение трудовой и бытовой дисциплины;,0
75,Условия:  - ВАХТА!,0
76,60/30;,0
77,"- График работы 7/0 по 11 часов  - Прямой работодатель, ОФИЦИАЛЬНОЕ трудоустройство по ТК РФ  - Выплата заработной платы БЕЗ ЗАДЕРЖЕК.",0
78,"Оплата по часовой ставке , выплачивается стабильно 2 раза в месяц ;",0
79,- Проживание за счет компании  - Питание за счет компании  - Спецодежда за счет компании  - Покупаем билеты на вахту/с вахты,0
80,"В стабильную, развивающуюся компанию требуются Бетонщики-Арматурщики на строительные объекты в Москве  Рассмотрим кандидатов как с опытом работы, так и без него.",0
81,"ВАХТОВЫЙ МЕТОД РАБОТЫ 60/30  З/п за месяц - 67 000 на руки  З/п за вахту - 134 000 на руки  Обязанности:  - Армирование, бетонирование;",0
82,- Монтаж опалубки.,0
83,Требования:  - Соблюдение трудовой и бытовой дисциплины;,1
84,Условия:  - ВАХТА!,0
85,60/30;,2
86,"- График работы 7/0 по 11 часов  - Прямой работодатель, ОФИЦИАЛЬНОЕ трудоустройство по ТК РФ  - Выплата заработной платы БЕЗ ЗАДЕРЖЕК.",0
87,"Оплата по часовой ставке , выплачивается стабильно 2 раза в месяц ;",3
88,- Проживание за счет компании  - Питание за счет компании  - Спецодежда за счет компании  - Покупаем билеты на вахту/с вахты,3
89,В крупную динамично развивающуюся компанию требуются сотрудники для выполнения госзаказа на крупном строительном объекте в г.Москва.,0
90,"Что мы предлагаем:  - официальное трудоустройство по ТК РФ с 1-го рабочего дня;  - график работы – ВАХТОВЫЙ 60/30, 90/30;  - предоставляется благоустроенное жилье за счет компании;  - предоставляется бесплатное комплексное горячее 3-х разовое питание;  - предоставляется бесплатная спецодежда и обувь по сезону и специфике работ;  - покупка билетов на вахту и в межвахтовый отпуск;  - авансирование 15 и 30 (31) числа без задержек;  - медосмотр за счет работодателя;  - проживание в 10 минутах ходьбы от места работы;  - сертифицированные рабочие места в соответствии с требованиями охраны труда;  - повышение квалификации и аттестация в лицензированном учебном центре компании;  - обучение дополнительным профессиям за счет компании.",2
91,"Что предстоит делать:  - армирование каркаса, монолитные работы.",0
92,Что нужно знать и уметь:  - опыт работы на строительных объектах.,0
93,ДОБРО ПОЖАЛОВАТЬ В НАШУ БОЛЬШУЮ КОМАНДУ!,1
94,ЗВОНИТЕ ПРЯМО СЕЙЧАС!,1
95,В крупную динамично развивающуюся компанию требуются сотрудники для выполнения госзаказа на крупном строительном объекте в г.Москва.,0
96,"Что мы предлагаем:  - официальное трудоустройство по ТК РФ с 1-го рабочего дня;  - график работы – ВАХТОВЫЙ 60/30, 90/30;  - предоставляется благоустроенное жилье за счет компании;  - предоставляется бесплатное комплексное горячее 3-х разовое питание;  - предоставляется бесплатная спецодежда и обувь по сезону и специфике работ;  - покупка билетов на вахту и в межвахтовый отпуск;  - авансирование 15 и 30 (31) числа без задержек;  - медосмотр за счет работодателя;  - проживание в 10 минутах ходьбы от места работы;  - сертифицированные рабочие места в соответствии с требованиями охраны труда;  - повышение квалификации и аттестация в лицензированном учебном центре компании;  - обучение дополнительным профессиям за счет компании.",2
97,"Что предстоит делать:  - армирование каркаса, монолитные работы.",0
98,Что нужно знать и уметь:  - опыт работы на строительных объектах.,1
99,ДОБРО ПОЖАЛОВАТЬ В НАШУ БОЛЬШУЮ КОМАНДУ!,3
100,ЗВОНИТЕ ПРЯМО СЕЙЧАС!,3
101,"Крупной Федеральной Компании для работы ВАХТОВЫМ МЕТОДОМ на строительные участки требуются специалисты:  Обязанности:  · Работы на монолите (заливка бетона, укладка и вязка арматуры)  · Монтажные работы (МК/ЖБК)  · Общестроительные работы и вспомогательные работы  Требования:  · Понимание работы в бригаде  · Дисциплинированность, трудолюбие  · Опыт работы в строительстве будет преимуществом  · (готовы рассмотреть кандидатов и без опыта работы, всему научим, в перспективе карьерный рост до бригадира/мастера участка)  Условия:  · Продолжительность вахты 60/30, 90/30 (можно больше)  · Официальное трудоустройство по ТК РФ с первой рабочей смены  · ЗП строго в срок и без задержек (документальное подтверждение в трудовом договоре)  · Авансирование (15 и 30го числа каждого месяца по 15000 р.)",1
102,· Обеспечим сезонной спецодеждой и СИЗами без вычетов из ЗП  · Организованное трехраховое горячее питание за счет компании  · Организованные отправки до объектов (покупаем билеты на вахту/с вахты)  · Помощь в прохождении мед. осмотра (при необходимости)  · Возможность получить квалификационное удостоверение (обучение основным и смежным специальностям в нашем аккредитованном учебном центре),3
103,"Обязанности:  — Устройство бетонных полов, приямков, опалубки, вязание арматурных каркасов;",0
104,— Бетонные работы.,0
105,Требования:  — Образование среднее профессиональное или начальное образование по данной специальности;,0
106,— Опыт работы в от 2 лет будет вашим преимуществом;,1
107,— Разряд по специальности не менее 4 желателен;,1
108,— Желательно наличие удостоверения на право работы бетонщиком;,0
109,"— В случае отсутствия удостоверения-наличие записей в трудовой книжке, подтверждающие опыт работы по данной специальности и разряд.",0
110,"Условия:  — Вахтовый метод работы 30/30 в Хабаровском крае, Комсомольский район;",2
111,— Официальное трудоустройство;,0
112,"— Проживание, питание на территории вахтового поселка за счет работодателя;",3
113,— Компенсация проезда до места работы и обратно;,3
114,— Возмещение затрат за прохождение медицинской комиссии;,3
115,— Трудоустройство в г.Хабаровск.,3
116,Срочно требуются бетонщики- монолитчики на работу вахтовым методом!,0
117,Tpeбования : Опыт рабoты на монолите.,0
118,Навыки вязки арматуры и установки опалубки.,1
119,Умение читать чертежи является преимуществом.,1
120,У вас будет: - Высокий и стабильный заработок: от 80000 руб. - Комфортные условия проживания за наш счет.,2
121,- Питание – за наш счет - Компенсация проезда до места вахты.,2
122,Рассматриваем также готовые бригады!,3
123,Честную оплату труда - гарантируем!,3
124,"В стабильную, развивающуюся компанию требуются Бетонщики-Арматурщики на строительные объекты в Москве  Рассмотрим кандидатов как с опытом работы, так и без него.",0
125,"ВАХТОВЫЙ МЕТОД РАБОТЫ 60/30  З/п за месяц - 67 000 на руки  З/п за вахту - 134 000 на руки  Обязанности:  - Армирование, бетонирование;",0
126,- Монтаж опалубки.,0
127,Требования:  - Соблюдение трудовой и бытовой дисциплины;,1
128,Условия:  - ВАХТА!,0
129,60/30;,2
130,"- График работы 7/0 по 11 часов  - Прямой работодатель, ОФИЦИАЛЬНОЕ трудоустройство по ТК РФ  - Выплата заработной платы БЕЗ ЗАДЕРЖЕК.",0
131,"Оплата по часовой ставке , выплачивается стабильно 2 раза в месяц ;",3
132,- Проживание за счет компании  - Питание за счет компании  - Спецодежда за счет компании  - Покупаем билеты на вахту/с вахты,3
133,"Обязанности:  — Подготовительные работы, вязка арматуры, заливка бетона, опалубка и т.п.  — Строительство мостов, путепроводов, ливневки, водостоки, коммуникации  Требования:  — Опыт работы бетонщиком/арматурщиком, разнорабочим на стройке  Условия:  — Выдаются авансы  — График работы 30/15 ;",1
134,"45/15- ВАХТА  — Официальное оформление по ТК РФ  — Горячее питание два раза в день  — Спецодежда со второй вахты  На вакансию рассматриваем кандидатов с опытом работы бетонщика, арматурщика, бетонщика /арматурщика, бетонщики /монолитчики, арматурщик /монолитчик, подсобный рабочий, рабочий стройки.",3
135,"Обязанности:
• Подготовка к сварочным работам, соблюдение технологии и ТБ
• Выполнение в установленные сроки электрогазосварочных работ
• Сварка ответственных и несущих металлоконструкций
• Работа с ручным электроинструментом

Требования:
• Знание Русского языка
• Опыт работы на стройке сварщиком
• Наличие профильного образования, реального опыта, корочек, будет преимуществом при распределении работ и объектов, на ручную дуговую сварку
• Не бояться работы в котловане с землей
• Не бояться стройки, желание работать, ответственный подход
• Навыки работы с электроинструментом

Условия:
• Выплата зп без задержек (на карту)
• Проживание бесплатно
• Компенсация проезда
• Питание 3-х разовое
• Предоставляется спецодежда",0
136,Требуются БЕТОНЩИКИ /АРМАТУРЩИКИ и рабочие специальности (строительство мостов и развязок)!,0
137,"Обязанности:

· Монтаж стальных и железобетонных конструкций, армирование сеток, сборка опалубки

· Строительство мостов, путепроводов, ливневки, водостоки, коммуникации

Требования:

· ОБЯЗАТЕЛЬНО НАЛИЧИЕ: Документов подтверждающие квалификацию (диплом, свидетельство, удостоверение или запись в трудовой книжке)

· Знание и понимание работ по данному направлению

· Опыт аналогичной работы от 1 года, ПГС, МОСТЫ, ЖБК

· Навыки работы с инструментом

Условия:

· ВАХТА 30/30, 45/15 рассматриваем возможные варианты

· Полностью официальное оформление( Сбербанк, Альфабанк)

· Выплата зп без задержек (на карту)

· Общежитие – бесплатно

· Доставка от и до объекта, компенсация проезда

· Питание 2-х разовое

· Предоставляется спецодежда со второй Вахты",0
138,"📢Срочно требуются Маляр ЛКП (лакокрасочных покрытий) , Бесплатное проживание, Оплата проезда , Прямой работодатель.",3
139,Своевременные выплаты.,0
140,От 106 тысяч месяц!,0
141,"Крупные предприятия и заводы в городах по РФ: Саратов Тула, Москва,Липецк, Екатеринбург и другие.",0
142,Условия:  🏡- Комфортные место проживания бесплатно  🦺- Спец. одежда бесплатно  🗃️- Официальное оформление по ТК РФ !,0
143,🧾- Покупаем билет за счет компании из вашего города до места работы!,2
144,Мы предлагаем:  🩺- Мед.комиссия на месте за счет работодателя.,2
145,"🧳- Вахтовый метод на выбор 60/30 , 90/30  🕓- График работы: 6\1;",2
146,💰- Стабильные выплаты зарплаты 2 раза в месяц.,2
147,"🏡- Проживание в шаговой доступности (условия хорошие ,без живностей ,все для комфортного проживания предоставляется!)",2
148,Спец. одежда бесплатно  💵- Выплаты без задержек  🤝🏻- Акция &quot;ПРИВЕДИ ДРУГА&quot; от 5.000 руб. до 10.000 руб.,2
149,"Должностные обязанности:  🛠️- Качественное окрашивание поверхностей жидкими красками, эмалями и лаками в несколько тонов;",0
150,"🛠️- отделка поверхностей шлифованием, лакированием и полированием;",0
151,🛠️- Окрашивание после грунтования поверхностей методом холодного воздушного и пневматического распыления;,0
152,Требования:  💡- Опыт работы маляром безвоздушной покраски не менее 6 месяцев  Присоединяйтесь к нашей дружной команде!,1
153,Продление вахты возможно на месте.,1
154,90% сотрудников продлевают вахту и остаются с нами.,1
155,Звоните и пишите в удобное для вас время!,0
156,"На стабильно развивающееся производство в г. Набережные Челны, г. Ростов-на-Дону, г. Ульяновск.",0
157,Приглашаем на работу мужчин и женщин.,0
158,С обучением на рабочем месте  ВОЗМОЖНА РАБОТА ВАХТОЙ 60/30.,0
159,Что мы предлагаем :   Официальное трудоустройство по ТК РФ.,0
160,• Гарантированные выплаты 2 раза в месяц  • График работы 5/2 или 6/1 по 8 или 11 часов  • Мед. комиссия и спец. одежда за счёт работодателя  • Столовая на территории производства.,2
161,• Премии за переработку.,2
162,• Проживание в общежитии гостиничного типа предоставляется работодателем  Обязанности:  Холодная штамповка деталей кузова машин УАЗ.,0
163,Машиностроительный завод в г. Екатеринбург  Обязанности:  -Нанесение лакокрасочного покрытия методом безвоздушного напыления  - Подготовка к покраске  - Маркирование изделий  Условия:  -Вахта 60/30  -Проживание в квартире за счет работодателя  -Проезд оплачивается  -Спецодежда и медосмотр за счет компании  -Стабильная заработная плата без задержек  -Официальное трудоустройство согласно ТК,2
164,Вас приветствует компания ООО «ПРОФКАДРЫ» -лидер кадрового обеспечения крупных  предприятий России.,0
165,"На крупное предприятие в городе Тихвин требуется Маляр ,  для работы вахтовым медом.",0
166,"Обязанности:  Работы по нанесению покрытий на металлоконструкции при изготовлении отливок, узлов, вагонов (лакокрасочным и материалами по металлу)  — Требования: — Опыт работы от 1-3 лет.",0
167,"— Наличие удостоверении по специальности и запись в трудовой книжке, подтверждающая квалификацию.",1
168,Условия:  — Официальное трудоустройство по ТК РФ.,0
169,— Оплата отпуска и больничного.,2
170,— Своевременная зарплата 2 р в месяц на карту любого банка.,2
171,— Предоставление благоустроенного жилья.,2
172,— Заселение в день приезда.,2
173,— Спецодежда и медкомиссия на месте за счёт работодателя.,2
174,— Компенсация дороги по билетам.,2
175,"— Оплата почасовая 290 р/ч. — График 6/1,по 11 часов, перерывом на обед.",2
176,"— Вахта 60/30,30/30.",2
177,"Работа в стабильной, динамично развивающейся компании.",2
178,Возможность карьерного роста.,2
179,Проводим адаптацию и даём полную поддержку новым сотрудникам.,2
180,Работа в Екатеринбурге.,0
181,Производство металлоконструкций .,0
182,Работа в цехах.,0
183,Жидкие краски.,0
184,"Покраска пульверизатором, кисточками, валиками, воздушным пистолетом.",0
185,От 4 разряда .,1
186,Опыт работы от 1 года.,1
187,"График 60/30 Шестидневная рабочая неделя, воскресенье выходной.",2
188,"Проезд, проживание, медосмотр, спецодежда БЕСПЛАТНО.",0
189,Своевременная выплата заработной платы 2 раза в месяц.,0
190,От 102 000 р (за 26 рабочих смен).,0
191,Официальное трудоустройство.,0
192,ПРЯМОЙ РАБОТОДАТЕЛЬ.,0
193,На вахту в город Владимир требуются маляры.,0
194,"Обязанности: покраска металлов краскопультом и безвоздушным путем  Условия:  + Своевременная выплата заработной платы 2 раза в месяц, на карту;",0
195,"+ Заработная плата 340 р в час в дневную смену, 370 в ночную  + Питание в столовой завода, возможно в счет заработной платы;",2
196,"+ Проживание в благоустроенных квартирах, в шаговой доступности от места работы;",2
197,+ Оплата билетов до 2500;,2
198,+ Медосмотр за счет работодателя – проходите по приезду;,2
199,+ бесплатно предоставляется спец. одежда;,2
200,+ Официальное трудоустройство по ТК;,2
201,Для работы вахтовым методом во Владимирскую область на предприятие по производству автобусов требуются маляры на полуавтомат.,0
202,Требования:   - покраска металлов краскопультом и безвоздушным путем.,1
203,Мы предлагаем :  -Вахта 60/30.,0
204,Оформление по ТК РФ.,2
205,-График работы 6 дней в неделю по 12 часов в день.,2
206,"Есть как дневные смены, так и ночные.",0
207,-Стабильная оплата труда.,0
208,-Проживание в г. Владимире.,0
209,До предприятия возит служебный автобус.  - компенсация проезда до 2500 руб,0
210,Маляр на работу в новостройках Москвы.,0
211,У нас несколько новостроек с большим объемом по полу!,0
212,Инструменты предоставляются!,0
213,"ЗВОНИТЕ ПРЯМО СЕЙЧАС Проживание бесплатно (если рассматриваете вахта Маляр ) ЕСЛИ ВЫ ВИДИТЕ ЭТО ОБЪЯВЛЕНИЕ, ТО ВАКАНСИЯ АКТУАЛЬНА !Уважаемые Кандидаты, просьба прочесть до конца.",0
214,Приглашаем на работу мастеров с опытом в отделке!,0
215,"ПОЗВОНИТЕ ПРЯМО СЕЙЧАС, мы сможем рассказать об условиях на каждом объекте!",0
216,"ВЫ сможете здесь ЗАРАБОТАТЬ в чистом виде, исходя из выбранного графика и объекта на выбор.",0
217,УСЛОВИЯ:  Зарплата без задержек 2 раза в месяц!,0
218,Есть карьерная лестница!,2
219,Для желающих и умеющих есть все шансы для повышения на объекте!,2
220,"Приезжайте с друзьями или хорошими коллегами, работайте в бригада Маляр / Штукатур / Шпаклевщик*!",2
221,"ОФИЦИАЛЬНЫЕ ВЫПЛАТЫ  ОПЛАТА: Зарплата платится без заминок два раза в месяц 6/1 и 7/0 по 8 часов, 1 час перерыва.",0
222,"Опыт работы Маляр / Штукатур / Шпаклевщик  ЗВОНИТЕ ПРЯМО СЕЙЧАС  Также готовы рассмотреть сотрудников с опытом работы на позициях: вакансия штукатур маляр, вакансия маляр, работа маляр москва, работа штукатур",1
223,Работа маляр / штукатур!,0
224,Объект в Москве!,0
225,Крупный ген.подрядчик.,0
226,Требуются сотрудник на отделку готовых квартир на стройку!,0
227,Опыт от года!,1
228,Премия за выполнение объектов!,0
229,ЗВОНИТЕ СЕЙЧАС!!!,0
230,НЕ ТЕРЯЙТЕ ВРЕМЯ!!!,0
231,"*********************** Мы предлагаем: -ЧЕСТНЫЙ ПРЯМОЙ РАБОТОДАТЕЛЬ, -КОМФОРТНЫЕ условия работы (график на выбор) -САМЫЕ ВЫСОКИЕ СТАВКИ по МОСКВЕ и МО!",0
232,-ГАРАНТИЯ ТРУДОУСТРОЙСТВА ДЕНЬ В ДЕНЬ!,3
233,Оплата: •Каждые 2 недели!,3
234,( 2 раза в месяц ) •Без задержек!,3
235,Обязанности: -Малярно-штукатурные / шпаклевочные работы!,0
236,Есть работа по дизайн проектам для рабочих со своим инструментом  Требования: •Опыт работы от года!,0
237,Всегда рядом бригадир и мастера на объекте Условия работы: •График работы: 5/2 и 6/1 по 8 часов  •Кулеры и туалет через этаж!,2
238,"______ Также готовы рассмотреть сотрудников с опытом работы на позициях: вакансия штукатур маляр, вакансия маляр, работа маляр москва, работа штукатур",0
239,На вахту в город Владимир требуются маляры.,0
240,"Обязанности: покраска металлов краскопультом и безвоздушным путем  Условия:  + Своевременная выплата заработной платы 2 раза в месяц, на карту;",0
241,"+ Заработная плата 340 р в час в дневную смену, 370 в ночную  + Питание в столовой завода, возможно в счет заработной платы;",2
242,"+ Проживание в благоустроенных квартирах, в шаговой доступности от места работы;",2
243,+ Оплата билетов до 2500;,2
244,+ Медосмотр за счет работодателя – проходите по приезду;,2
245,+ бесплатно предоставляется спец. одежда;,2
246,+ Официальное трудоустройство по ТК;,0
247,На завод по производству автобусов в г. Владимир требуется маляр на полуавтомат.,0
248,Мы предлагаем:  -стабильную заработную плату (2 раза в месяц);  -официальное трудоустройство по ТК РФ;  -проживание в квартирах + корпоративный транспорт до завода;  -компенсация проезда до вахты по её окончанию (до 2500 рублей);  -бесплатная спец. одежда;  -график работы 6 дней в неделю по 12 часов.,2
249,"Мы ищем:  Активных, ответственных людей, с желание работать и зарабатывать!",1
250,⠇В связи с расширением производства идет набор сотрудников на крупное предприятие в г. БАТАЙСК (РОСТОВСКАЯ ОБЛАСТЬ) ⠇  Требуется: МАЛЯР ПО МЕТАЛЛУ.,1
251,"Обязанности:  ⠂Окраска полуприцепов, резервуаров аппаратом грако (воздушная, безвоздушная покраска).",0
252,"Условия:  ✅ График работы 6/1 по 11 часов, 1 час на обед;",0
253,✅ Официальное трудоустройство по ТК РФ;,2
254,✅ Выплаты 2 раза в месяц;,2
255,✅ Заселение в день прибытия;,2
256,✅ Предоставляем медосмотр;,2
257,✅ Компенсируем проезд.,2
258,❕ ❗ БЕСПЛАТНОЕ ПРОЖИВАНИЕ В КВАРТИРАХ❕ ❗  ❕ ❗БЕСПЛАТНО Спецодежда и СИЗ❕ ❗,2
259,Работа Штукатур - маляр в компании ПИК-РЕМОНТ на м.,0
260,Бунинская Аллея!,0
261,"Мы - технологичная компания, специализирующаяся на комплексных решениях в сфере ремонта помещений.",0
262,Открыт набор для отделочников-штукатуров/маляров/шпаклевщиков!,0
263,"Есть вахта Маляр Условия:   — График работы 5/2 или 6/1, на выбор  — Выплаты официально на карту  — Есть работа с проживанием     — Штукатурка 300 руб м2  — Шпатлевка 1 слой 120 руб м2  — Оставшаяся смета в офисе  — Инструменты выдаются бесплатно  Мы входим в группу компаний &quot;ПИК&quot; и строим систему для управления отделкой с использованием разработанных IT инструментов.",2
264,"Обязанности:  — Выполнение отделочных работ, устройство стяжки, настилка пола (линолеум, паркет, паркетная доска, ламинат) облицовка покрытий плиткой, оклейка перегородок обоями, стеклохолстом и прочее;",0
