,responsibilities(Должностные обязанности),requirements(Требования к соискателю),terms(Условия),notes(Примечания)
13,"В стабильную, развивающуюся компанию требуются Бетонщики-Арматурщики на строительные объекты в Москве  Рассмотрим кандидатов как с опытом работы, так и без него.  ВАХТОВЫЙ МЕТОД РАБОТЫ 60/30  З/п за месяц - 67 000 на руки  З/п за вахту - 134 000 на руки  Обязанности:  - Армирование, бетонирование;  - Монтаж опалубки.  Требования:  - Соблюдение трудовой и бытовой дисциплины;  Условия:  - ВАХТА! 60/30;  - График работы 7/0 по 11 часов  - Прямой работодатель, ОФИЦИАЛЬНОЕ трудоустройство по ТК РФ  - Выплата заработной платы БЕЗ ЗАДЕРЖЕК. Оплата по часовой ставке , выплачивается стабильно 2 раза в месяц ;  - Проживание за счет компании  - Питание за счет компании  - Спецодежда за счет компании  - Покупаем билеты на вахту/с вахты",,60/30;,"Оплата по часовой ставке , выплачивается стабильно 2 раза в месяц ;"
14,"В стабильную, развивающуюся компанию требуются Бетонщики-Арматурщики на строительные объекты в Москве  Рассмотрим кандидатов как с опытом работы, так и без него.  ВАХТОВЫЙ МЕТОД РАБОТЫ 60/30  З/п за месяц - 67 000 на руки  З/п за вахту - 134 000 на руки  Обязанности:  - Армирование, бетонирование;  - Монтаж опалубки.  Требования:  - Соблюдение трудовой и бытовой дисциплины;  Условия:  - ВАХТА! 60/30;  - График работы 7/0 по 11 часов  - Прямой работодатель, ОФИЦИАЛЬНОЕ трудоустройство по ТК РФ  - Выплата заработной платы БЕЗ ЗАДЕРЖЕК. Оплата по часовой ставке , выплачивается стабильно 2 раза в месяц ;  - Проживание за счет компании  - Питание за счет компании  - Спецодежда за счет компании  - Покупаем билеты на вахту/с вахты",,60/30;,"Оплата по часовой ставке , выплачивается стабильно 2 раза в месяц ;"
15,"В крупную динамично развивающуюся компанию требуются сотрудники для выполнения госзаказа на крупном строительном объекте в г.Москва.  Что мы предлагаем:  - официальное трудоустройство по ТК РФ с 1-го рабочего дня;  - график работы – ВАХТОВЫЙ 60/30, 90/30;  - предоставляется благоустроенное жилье за счет компании;  - предоставляется бесплатное комплексное горячее 3-х разовое питание;  - предоставляется бесплатная спецодежда и обувь по сезону и специфике работ;  - покупка билетов на вахту и в межвахтовый отпуск;  - авансирование 15 и 30 (31) числа без задержек;  - медосмотр за счет работодателя;  - проживание в 10 минутах ходьбы от места работы;  - сертифицированные рабочие места в соответствии с требованиями охраны труда;  - повышение квалификации и аттестация в лицензированном учебном центре компании;  - обучение дополнительным профессиям за счет компании.  Что предстоит делать:  - армирование каркаса, монолитные работы.  Что нужно знать и уметь:  - опыт работы на строительных объектах.  ДОБРО ПОЖАЛОВАТЬ В НАШУ БОЛЬШУЮ КОМАНДУ!  ЗВОНИТЕ ПРЯМО СЕЙЧАС!",Что нужно знать и уметь:  - опыт работы на строительных объектах. ДОБРО ПОЖАЛОВАТЬ В НАШУ БОЛЬШУЮ КОМАНДУ! ЗВОНИТЕ ПРЯМО СЕЙЧАС!,"Что мы предлагаем:  - официальное трудоустройство по ТК РФ с 1-го рабочего дня;  - график работы – ВАХТОВЫЙ 60/30, 90/30;  - предоставляется благоустроенное жилье за счет компании;  - предоставляется бесплатное комплексное горячее 3-х разовое питание;  - предоставляется бесплатная спецодежда и обувь по сезону и специфике работ;  - покупка билетов на вахту и в межвахтовый отпуск;  - авансирование 15 и 30 (31) числа без задержек;  - медосмотр за счет работодателя;  - проживание в 10 минутах ходьбы от места работы;  - сертифицированные рабочие места в соответствии с требованиями охраны труда;  - повышение квалификации и аттестация в лицензированном учебном центре компании;  - обучение дополнительным профессиям за счет компании.",
16,"В крупную динамично развивающуюся компанию требуются сотрудники для выполнения госзаказа на крупном строительном объекте в г.Москва.  Что мы предлагаем:  - официальное трудоустройство по ТК РФ с 1-го рабочего дня;  - график работы – ВАХТОВЫЙ 60/30, 90/30;  - предоставляется благоустроенное жилье за счет компании;  - предоставляется бесплатное комплексное горячее 3-х разовое питание;  - предоставляется бесплатная спецодежда и обувь по сезону и специфике работ;  - покупка билетов на вахту и в межвахтовый отпуск;  - авансирование 15 и 30 (31) числа без задержек;  - медосмотр за счет работодателя;  - проживание в 10 минутах ходьбы от места работы;  - сертифицированные рабочие места в соответствии с требованиями охраны труда;  - повышение квалификации и аттестация в лицензированном учебном центре компании;  - обучение дополнительным профессиям за счет компании.  Что предстоит делать:  - армирование каркаса, монолитные работы.  Что нужно знать и уметь:  - опыт работы на строительных объектах.  ДОБРО ПОЖАЛОВАТЬ В НАШУ БОЛЬШУЮ КОМАНДУ!  ЗВОНИТЕ ПРЯМО СЕЙЧАС!",Что нужно знать и уметь:  - опыт работы на строительных объектах. ДОБРО ПОЖАЛОВАТЬ В НАШУ БОЛЬШУЮ КОМАНДУ! ЗВОНИТЕ ПРЯМО СЕЙЧАС!,"Что мы предлагаем:  - официальное трудоустройство по ТК РФ с 1-го рабочего дня;  - график работы – ВАХТОВЫЙ 60/30, 90/30;  - предоставляется благоустроенное жилье за счет компании;  - предоставляется бесплатное комплексное горячее 3-х разовое питание;  - предоставляется бесплатная спецодежда и обувь по сезону и специфике работ;  - покупка билетов на вахту и в межвахтовый отпуск;  - авансирование 15 и 30 (31) числа без задержек;  - медосмотр за счет работодателя;  - проживание в 10 минутах ходьбы от места работы;  - сертифицированные рабочие места в соответствии с требованиями охраны труда;  - повышение квалификации и аттестация в лицензированном учебном центре компании;  - обучение дополнительным профессиям за счет компании.",
17,"Крупной Федеральной Компании для работы ВАХТОВЫМ МЕТОДОМ на строительные участки требуются специалисты:  Обязанности:  · Работы на монолите (заливка бетона, укладка и вязка арматуры)  · Монтажные работы (МК/ЖБК)  · Общестроительные работы и вспомогательные работы  Требования:  · Понимание работы в бригаде  · Дисциплинированность, трудолюбие  · Опыт работы в строительстве будет преимуществом  · (готовы рассмотреть кандидатов и без опыта работы, всему научим, в перспективе карьерный рост до бригадира/мастера участка)  Условия:  · Продолжительность вахты 60/30, 90/30 (можно больше)  · Официальное трудоустройство по ТК РФ с первой рабочей смены  · ЗП строго в срок и без задержек (документальное подтверждение в трудовом договоре)  · Авансирование (15 и 30го числа каждого месяца по 15000 р.)  · Обеспечим сезонной спецодеждой и СИЗами без вычетов из ЗП  · Организованное трехраховое горячее питание за счет компании  · Организованные отправки до объектов (покупаем билеты на вахту/с вахты)  · Помощь в прохождении мед. осмотра (при необходимости)  · Возможность получить квалификационное удостоверение (обучение основным и смежным специальностям в нашем аккредитованном учебном центре)","Крупной Федеральной Компании для работы ВАХТОВЫМ МЕТОДОМ на строительные участки требуются специалисты:  Обязанности:  · Работы на монолите (заливка бетона, укладка и вязка арматуры)  · Монтажные работы (МК/ЖБК)  · Общестроительные работы и вспомогательные работы  Требования:  · Понимание работы в бригаде  · Дисциплинированность, трудолюбие  · Опыт работы в строительстве будет преимуществом  · (готовы рассмотреть кандидатов и без опыта работы, всему научим, в перспективе карьерный рост до бригадира/мастера участка)  Условия:  · Продолжительность вахты 60/30, 90/30 (можно больше)  · Официальное трудоустройство по ТК РФ с первой рабочей смены  · ЗП строго в срок и без задержек (документальное подтверждение в трудовом договоре)  · Авансирование (15 и 30го числа каждого месяца по 15000 р.)",,· Обеспечим сезонной спецодеждой и СИЗами без вычетов из ЗП  · Организованное трехраховое горячее питание за счет компании  · Организованные отправки до объектов (покупаем билеты на вахту/с вахты)  · Помощь в прохождении мед. осмотра (при необходимости)  · Возможность получить квалификационное удостоверение (обучение основным и смежным специальностям в нашем аккредитованном учебном центре)
18,"Обязанности:  — Устройство бетонных полов, приямков, опалубки, вязание арматурных каркасов; — Бетонные работы.  Требования:  — Образование среднее профессиональное или начальное образование по данной специальности; — Опыт работы в от 2 лет будет вашим преимуществом; — Разряд по специальности не менее 4 желателен; — Желательно наличие удостоверения на право работы бетонщиком; — В случае отсутствия удостоверения-наличие записей в трудовой книжке, подтверждающие опыт работы по данной специальности и разряд.  Условия:  — Вахтовый метод работы 30/30 в Хабаровском крае, Комсомольский район; — Официальное трудоустройство; — Проживание, питание на территории вахтового поселка за счет работодателя; — Компенсация проезда до места работы и обратно; — Возмещение затрат за прохождение медицинской комиссии; — Трудоустройство в г.Хабаровск. ",— Опыт работы в от 2 лет будет вашим преимуществом; — Разряд по специальности не менее 4 желателен; — Желательно наличие удостоверения на право работы бетонщиком;,"Условия:  — Вахтовый метод работы 30/30 в Хабаровском крае, Комсомольский район; — Официальное трудоустройство;","— Проживание, питание на территории вахтового поселка за счет работодателя; — Компенсация проезда до места работы и обратно; — Возмещение затрат за прохождение медицинской комиссии; — Трудоустройство в г.Хабаровск."
19,Срочно требуются бетонщики- монолитчики на работу вахтовым методом!   Tpeбования : Опыт рабoты на монолите. Навыки вязки арматуры и установки опалубки. Умение читать чертежи является преимуществом. У вас будет: - Высокий и стабильный заработок: от 80000 руб. - Комфортные условия проживания за наш счет. - Питание – за наш счет - Компенсация проезда до места вахты.  Рассматриваем также готовые бригады! Честную оплату труда - гарантируем!,Tpeбования : Опыт рабoты на монолите. Навыки вязки арматуры и установки опалубки. Умение читать чертежи является преимуществом.,У вас будет: - Высокий и стабильный заработок: от 80000 руб. - Комфортные условия проживания за наш счет. - Питание – за наш счет - Компенсация проезда до места вахты.,Рассматриваем также готовые бригады! Честную оплату труда - гарантируем!
20,"В стабильную, развивающуюся компанию требуются Бетонщики-Арматурщики на строительные объекты в Москве  Рассмотрим кандидатов как с опытом работы, так и без него.  ВАХТОВЫЙ МЕТОД РАБОТЫ 60/30  З/п за месяц - 67 000 на руки  З/п за вахту - 134 000 на руки  Обязанности:  - Армирование, бетонирование;  - Монтаж опалубки.  Требования:  - Соблюдение трудовой и бытовой дисциплины;  Условия:  - ВАХТА! 60/30;  - График работы 7/0 по 11 часов  - Прямой работодатель, ОФИЦИАЛЬНОЕ трудоустройство по ТК РФ  - Выплата заработной платы БЕЗ ЗАДЕРЖЕК. Оплата по часовой ставке , выплачивается стабильно 2 раза в месяц ;  - Проживание за счет компании  - Питание за счет компании  - Спецодежда за счет компании  - Покупаем билеты на вахту/с вахты",,60/30;,"Оплата по часовой ставке , выплачивается стабильно 2 раза в месяц ;"
21,"Обязанности:  — Подготовительные работы, вязка арматуры, заливка бетона, опалубка и т.п.  — Строительство мостов, путепроводов, ливневки, водостоки, коммуникации  Требования:  — Опыт работы бетонщиком/арматурщиком, разнорабочим на стройке  Условия:  — Выдаются авансы  — График работы 30/15 ; 45/15- ВАХТА  — Официальное оформление по ТК РФ  — Горячее питание два раза в день  — Спецодежда со второй вахты  На вакансию рассматриваем кандидатов с опытом работы бетонщика, арматурщика, бетонщика /арматурщика, бетонщики /монолитчики, арматурщик /монолитчик, подсобный рабочий, рабочий стройки.","Обязанности:  — Подготовительные работы, вязка арматуры, заливка бетона, опалубка и т.п.  — Строительство мостов, путепроводов, ливневки, водостоки, коммуникации  Требования:  — Опыт работы бетонщиком/арматурщиком, разнорабочим на стройке  Условия:  — Выдаются авансы  — График работы 30/15 ;",,"45/15- ВАХТА  — Официальное оформление по ТК РФ  — Горячее питание два раза в день  — Спецодежда со второй вахты  На вакансию рассматриваем кандидатов с опытом работы бетонщика, арматурщика, бетонщика /арматурщика, бетонщики /монолитчики, арматурщик /монолитчик, подсобный рабочий, рабочий стройки."
22,"Обязанности:
• Подготовка к сварочным работам, соблюдение технологии и ТБ
• Выполнение в установленные сроки электрогазосварочных работ
• Сварка ответственных и несущих металлоконструкций
• Работа с ручным электроинструментом

Требования:
• Знание Русского языка
• Опыт работы на стройке сварщиком
• Наличие профильного образования, реального опыта, корочек, будет преимуществом при распределении работ и объектов, на ручную дуговую сварку
• Не бояться работы в котловане с землей
• Не бояться стройки, желание работать, ответственный подход
• Навыки работы с электроинструментом

Условия:
• Выплата зп без задержек (на карту)
• Проживание бесплатно
• Компенсация проезда
• Питание 3-х разовое
• Предоставляется спецодежда","Обязанности:
• Подготовка к сварочным работам, соблюдение технологии и ТБ
• Выполнение в установленные сроки электрогазосварочных работ
• Сварка ответственных и несущих металлоконструкций
• Работа с ручным электроинструментом

Требования:
• Знание Русского языка
• Опыт работы на стройке сварщиком
• Наличие профильного образования, реального опыта, корочек, будет преимуществом при распределении работ и объектов, на ручную дуговую сварку
• Не бояться работы в котловане с землей
• Не бояться стройки, желание работать, ответственный подход
• Навыки работы с электроинструментом

Условия:
• Выплата зп без задержек (на карту)
• Проживание бесплатно
• Компенсация проезда
• Питание 3-х разовое
• Предоставляется спецодежда",,
23,"Требуются БЕТОНЩИКИ /АРМАТУРЩИКИ и рабочие специальности (строительство мостов и развязок)!

Обязанности:

· Монтаж стальных и железобетонных конструкций, армирование сеток, сборка опалубки

· Строительство мостов, путепроводов, ливневки, водостоки, коммуникации

Требования:

· ОБЯЗАТЕЛЬНО НАЛИЧИЕ: Документов подтверждающие квалификацию (диплом, свидетельство, удостоверение или запись в трудовой книжке)

· Знание и понимание работ по данному направлению

· Опыт аналогичной работы от 1 года, ПГС, МОСТЫ, ЖБК

· Навыки работы с инструментом

Условия:

· ВАХТА 30/30, 45/15 рассматриваем возможные варианты

· Полностью официальное оформление( Сбербанк, Альфабанк)

· Выплата зп без задержек (на карту)

· Общежитие – бесплатно

· Доставка от и до объекта, компенсация проезда

· Питание 2-х разовое

· Предоставляется спецодежда со второй Вахты",,,
24,"📢Срочно требуются Маляр ЛКП (лакокрасочных покрытий) , Бесплатное проживание, Оплата проезда , Прямой работодатель. Своевременные выплаты. От 106 тысяч месяц!  Крупные предприятия и заводы в городах по РФ: Саратов Тула, Москва,Липецк, Екатеринбург и другие.  Условия:  🏡- Комфортные место проживания бесплатно  🦺- Спец. одежда бесплатно  🗃️- Официальное оформление по ТК РФ !   🧾- Покупаем билет за счет компании из вашего города до места работы!  Мы предлагаем:  🩺- Мед.комиссия на месте за счет работодателя.  🧳- Вахтовый метод на выбор 60/30 , 90/30  🕓- График работы: 6\1;  💰- Стабильные выплаты зарплаты 2 раза в месяц.   🏡- Проживание в шаговой доступности (условия хорошие ,без живностей ,все для комфортного проживания предоставляется!) Спец. одежда бесплатно  💵- Выплаты без задержек  🤝🏻- Акция &quot;ПРИВЕДИ ДРУГА&quot; от 5.000 руб. до 10.000 руб.  Должностные обязанности:  🛠️- Качественное окрашивание поверхностей жидкими красками, эмалями и лаками в несколько тонов;  🛠️- отделка поверхностей шлифованием, лакированием и полированием;  🛠️- Окрашивание после грунтования поверхностей методом холодного воздушного и пневматического распыления;  Требования:  💡- Опыт работы маляром безвоздушной покраски не менее 6 месяцев  Присоединяйтесь к нашей дружной команде! Продление вахты возможно на месте. 90% сотрудников продлевают вахту и остаются с нами. Звоните и пишите в удобное для вас время!",🛠️- Окрашивание после грунтования поверхностей методом холодного воздушного и пневматического распыления; Требования:  💡- Опыт работы маляром безвоздушной покраски не менее 6 месяцев  Присоединяйтесь к нашей дружной команде!,"🧾- Покупаем билет за счет компании из вашего города до места работы! Мы предлагаем:  🩺- Мед.комиссия на месте за счет работодателя. 🧳- Вахтовый метод на выбор 60/30 , 90/30  🕓- График работы: 6\1; 💰- Стабильные выплаты зарплаты 2 раза в месяц. 🏡- Проживание в шаговой доступности (условия хорошие ,без живностей ,все для комфортного проживания предоставляется!) Спец. одежда бесплатно  💵- Выплаты без задержек  🤝🏻- Акция &quot;ПРИВЕДИ ДРУГА&quot; от 5.000 руб. до 10.000 руб.","📢Срочно требуются Маляр ЛКП (лакокрасочных покрытий) , Бесплатное проживание, Оплата проезда , Прямой работодатель."
